HUC_10,NAME,Length_m,Rating,
401010205,LOWER CROWSNEST RIVER,136,ZERO,
401010205,LOWER CROWSNEST RIVER,556,ZERO,
401010205,LOWER CROWSNEST RIVER,190,ZERO,
401010205,LOWER CROWSNEST RIVER,218,ZERO,
401010205,CONNELLY CREEK,67,LOW,
401010205,CONNELLY CREEK,475,LOW,
401010205,CONNELLY CREEK,322,LOW,
401010205,UNNAMED,342,LOW,
401010205,UNNAMED,239,LOW,
401010205,UNNAMED,160,LOW,
401010205,UNNAMED,405,LOW,
401010205,UNNAMED,1528,LOW,
401010205,UNNAMED,428,LOW,
401010205,UNNAMED,642,LOW,
401010205,UNNAMED,2099,LOW,
401010205,CONNELLY CREEK,1317,LOW,
401010205,CONNELLY CREEK,55,MED,
401010205,CONNELLY CREEK,1471,LOW,
401010205,CONNELLY CREEK,5627,MED,
401010205,CONNELLY CREEK,75,LOW,
401010205,TODD CREEK,70,HIGH,
401010205,CROWSNEST RIVER,795,HIGH,
401010205,CROWSNEST RIVER,207,LOW,
401010205,CROWSNEST RIVER,904,LOW,
401010205,CROWSNEST RIVER,154,MED,
401010205,CROWSNEST RIVER,423,MED,
401010205,CROWSNEST RIVER,160,MED,
401010205,CROWSNEST RIVER,12,LOW,
401010205,CROWSNEST RIVER,916,LOW,
401010205,CONNELLY CREEK,1399,MED,
401010205,CONNELLY CREEK,62,MED,
401010205,CROWSNEST RIVER,451,HIGH,
401010205,CROWSNEST RIVER,376,MED,
401010205,CONNELLY CREEK,240,MED,
401010205,CROWSNEST RIVER,972,HIGH,
401010205,CROWSNEST RIVER,54,HIGH,
401010205,CROWSNEST RIVER,353,HIGH,
401010205,CROWSNEST RIVER,253,MED,
401010205,CROWSNEST RIVER,876,MED,
401010205,CROWSNEST RIVER,108,MED,
401010205,CROWSNEST RIVER,885,MED,
401010205,CROWSNEST RIVER,33,MED,
401010205,CROWSNEST RIVER,11,HIGH,
401010205,CROWSNEST RIVER,2076,MED,
401010205,CROWSNEST RIVER,2058,HIGH,
401010205,CROWSNEST RIVER,351,HIGH,
401010205,CROWSNEST RIVER,763,MED,
401010205,UNNAMED,284,LOW,
401010205,CROWSNEST RIVER,880,HIGH,
401010205,CROWSNEST RIVER,248,MED,
401010205,UNNAMED,827,LOW,
401010205,ROCK CREEK,97,MED,
401010205,CROWSNEST RIVER,1373,MED,
401010205,CROWSNEST RIVER,299,LOW,
401010205,UNNAMED,720,LOW,
401010205,CROWSNEST RIVER,1232,HIGH,
401010205,CROWSNEST RIVER,1373,MED,
401010205,UNNAMED,1139,MED,
401010205,UNNAMED,491,LOW,
401010205,DRUM CREEK,381,LOW,
401010205,CROWSNEST RIVER,832,LOW,
401010205,DRUM CREEK,235,LOW,
401010205,UNNAMED,909,MED,
401010205,CROWSNEST RIVER,1986,MED,
401010205,CROWSNEST RIVER,3980,LOW,
401010205,CROWSNEST RIVER,55,MED,
401010205,CROWSNEST RIVER,655,LOW,
401010205,FALLS CREEK,304,LOW,
401010205,CROWSNEST RIVER,681,LOW,
401010205,CROWSNEST RIVER,302,LOW,
401010205,CROWSNEST RIVER,1111,HIGH,
401010205,CROWSNEST RIVER,638,MED,
401010205,CROWSNEST RIVER,1293,HIGH,
401010205,CROWSNEST RIVER,437,LOW,
401010205,CROWSNEST RIVER,1679,MED,
401010205,CROWSNEST RIVER,4,LOW,
401010205,CROWSNEST RIVER,1501,MED,
401010205,CROWSNEST RIVER,372,LOW,
401010205,CROWSNEST RIVER,104,LOW,
401010205,CROWSNEST RIVER,554,HIGH,
401010205,CROWSNEST RIVER,755,MED,
401010205,BYRON CREEK,1532,LOW,
401010205,BYRON CREEK,205,LOW,
401010205,BYRON CREEK,417,LOW,
401010205,BYRON CREEK,169,LOW,
401010205,BYRON CREEK,263,LOW,
401010205,UNNAMED,897,LOW,
401010205,UNNAMED,257,MED,
401010205,UNNAMED,729,MED,
401010205,UNNAMED,415,LOW,
401010205,UNNAMED,1386,MED,
401010205,UNNAMED,270,LOW,
401010205,UNNAMED,897,LOW,
401010205,UNNAMED,2526,MED,
401010205,UNNAMED,68,LOW,
401010205,UNNAMED,246,MED,
401010205,UNNAMED,791,MED,
401010205,UNNAMED,51,LOW,
401010205,UNNAMED,40,MED,
401010205,UNNAMED,383,LOW,
401010205,UNNAMED,569,LOW,
401010205,UNNAMED,63,MED,
401010205,UNNAMED,288,LOW,
401010205,UNNAMED,842,MED,
401010205,UNNAMED,1151,LOW,
401010205,UNNAMED,1252,MED,
401010205,UNNAMED,429,LOW,
401010205,UNNAMED,140,MED,
401010205,UNNAMED,30,LOW,
401010205,UNNAMED,211,MED,
401010205,UNNAMED,923,MED,
401010205,UNNAMED,483,LOW,
401010205,UNNAMED,1212,MED,
401010205,UNNAMED,466,MED,
401010205,UNNAMED,32,LOW,
401010205,UNNAMED,373,LOW,
